strike,mid_price,implied_vol_yahoo
405,42.425,0.4784
407.5,40.025,0.4598
410,37.575,0.4408
412.5,35.475,0.4468
415,33.100,0.4224
417.5,31.025,0.4323
420,28.900,0.4207
422.5,27.025,0.4257
425,24.750,0.4050
427.5,22.775,0.4044
430,21.075,0.4092
432.5,19.900,0.4103
435,17.650,0.4063
437.5,15.950,0.3973
440,14.375,0.3987
442.5,12.950,0.3967
445,11.750,0.4006
447.5,10.450,0.3959
450,9.425,0.4023
452.5,8.350,0.3984
455,7.475,0.4023
457.5,6.650,0.4034
460,5.875,0.4073
462.5,5.185,0.4085
465,4.580,0.4101
467.5,4.105,0.4130
470,3.590,0.4171
472.5,3.175,0.4188
475,2.855,0.4243
477.5,2.500,0.4260
480,2.235,0.4315
482.5,1.975,0.4343
485,1.740,0.4379
487.5,1.545,0.4425
490,1.375,0.4461
492.5,1.215,0.4497
495,1.060,0.4524
